"","X","eventid","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","Cluster"
"1",74122,200907060017,2009,7,6,0,78,8,37.99749,23.762728,1,0,1,1,1,0,0,1,0,7,2,21,78,0,0,8,19,0,1
"2",66412,200705140005,2007,5,14,0,160,5,6.41871,121.972443,1,1,1,1,1,0,1,1,0,7,2,19,160,0,0,5,2,0,1
"3",67496,200710050003,2007,10,5,0,182,11,2.059819,45.326115,1,0,1,1,1,0,0,1,0,2,2,20,182,0,0,5,3,3,2
"4",21405,198511290006,1985,11,29,0,603,8,51.504387,-0.140041,1,0,1,1,1,-9,0,1,0,1,1,7,216,0,0,5,2,1,3
"5",50636,199609060004,1996,9,6,0,87,2,18.431389,-72.866944,1,0,1,1,1,-9,0,0,0,7,8,49,87,0,0,8,18,0,1
"6",138569,201703220032,2017,3,22,0,153,6,26.938782,68.427334,2,0,1,1,1,0,1,1,0,3,19,100,153,0,0,6,12,0,1
"7",41134,199205120006,1992,5,12,0,75,8,52.131076,11.636583,1,0,1,1,1,0,0,1,0,8,14,78,75,0,0,9,21,1,2
"8",9123,198007080004,1980,7,8,0,83,2,14.622869,-90.529068,1,0,1,1,1,0,0,1,0,1,8,48,83,0,0,5,5,1,4
"9",68059,200711250005,2007,11,25,0,153,6,28.820094,70.178762,2,0,1,1,1,0,1,1,0,3,21,106,153,0,0,6,16,0,2
"10",5095,197805240004,1978,5,24,0,94,10,34.640097,50.875948,1,0,1,1,1,-9,0,1,0,7,1,3,94,0,0,8,18,0,4
"11",42916,199210260007,1992,10,26,0,174,11,12.35,-16.716667,1,0,1,1,1,-9,0,1,0,2,1,8,174,0,0,5,2,2,1
"12",96248,201308170003,2013,8,17,0,4,6,33.802319,69.834155,3,0,1,1,1,0,0,1,0,3,3,25,4,0,0,6,16,2,2
"13",29663,198901310007,1989,1,31,0,186,6,5.973638,80.42819,1,0,1,0,1,1,0,1,0,3,22,110,186,0,0,5,2,1,5
"14",15727,198309010009,1983,9,1,0,159,3,-7.861217,-77.941739,1,0,1,1,1,0,0,1,0,2,14,75,159,0,0,5,2,8,1
"15",17868,198406180009,1984,6,18,0,145,2,11.701622,-84.330582,3,1,1,1,0,1,0,1,0,2,4,29,145,0,0,5,2,110,3
"16",133220,201608300041,2016,8,30,0,205,5,6.701099,101.617255,2,0,1,1,1,0,0,1,0,4,1,7,205,0,0,5,3,0,2
"17",142113,201708040037,2017,8,4,0,205,5,6.146342,101.912079,2,0,1,1,1,0,0,1,0,3,3,23,205,0,0,6,12,0,3
"18",37557,199106240003,1991,6,24,0,69,8,42.699997,9.447317,1,0,1,1,1,0,0,1,0,3,2,21,69,0,0,6,16,0,2
"19",128082,201603150021,2016,3,15,0,4,6,34.219418,69.098912,2,0,0,1,1,1,0,0,0,6,14,68,4,0,0,5,5,1,1
"20",56183,200004010001,2000,4,1,0,93,5,5.183798,97.141575,1,0,1,1,1,1,0,1,0,2,4,34,93,0,0,5,2,0,3
"21",52475,199706120009,1997,6,12,0,6,10,36.50054,2.8927,1,0,1,1,1,0,0,1,0,9,14,75,6,0,0,13,23,12,6
"22",88366,201208240023,2012,8,24,0,153,6,24.891115,67.143311,1,0,1,1,1,0,0,1,0,2,19,99,153,0,0,5,5,1,2
"23",17126,198403200003,1984,3,20,0,45,3,2.95485,-76.26825,1,0,1,1,1,0,0,1,0,1,14,68,45,0,0,13,21,2,3
"24",49193,199601230001,1996,1,23,0,167,9,55.751377,37.579914,1,0,1,1,1,0,0,1,0,1,10,55,167,0,0,5,5,1,2
"25",35057,199008240007,1990,8,24,0,209,10,41.106178,28.689863,1,0,1,1,1,0,0,1,0,3,7,46,185,0,0,6,16,0,1
"26",61445,200407260008,2004,7,26,0,93,5,-6.208821,106.846046,1,0,1,1,1,0,0,1,0,3,2,21,93,0,0,6,14,0,1
"27",67492,200710040016,2007,10,4,0,95,10,30.510054,47.778095,1,0,1,1,1,0,1,1,0,2,8,49,95,0,0,5,5,1,3
"28",15170,198306020009,1983,6,2,0,159,3,-9.529924,-77.5288,1,0,1,1,1,0,0,1,0,3,1,5,159,0,0,6,16,0,3
"29",110267,201409160001,2014,9,16,0,4,6,34.516895,69.147011,1,0,1,1,1,0,0,1,1,3,4,37,422,0,0,6,15,4,1
"30",2700,197510290002,1975,10,29,0,603,8,51.504387,-0.140041,1,0,1,1,1,0,0,1,0,3,1,2,216,0,0,6,16,0,4
"31",21695,198601200002,1986,1,20,0,159,3,-10.680652,-76.259918,1,0,1,1,1,0,0,1,0,3,1,7,159,0,0,6,16,0,1
"32",115427,201502110033,2015,2,11,0,160,5,16.22991,120.486845,3,0,1,1,1,0,0,1,0,1,2,15,160,0,0,5,3,1,1
"33",12147,198201030006,1982,1,3,0,83,2,14.403889,-90.698611,1,0,1,1,1,0,0,1,0,2,14,73,83,0,0,8,18,0,1
"34",36719,199103250014,1991,3,25,0,92,6,33.874027,74.901505,1,0,1,1,1,-9,0,1,0,2,3,25,92,0,0,5,2,1,7
"35",13305,198207210005,1982,7,21,0,159,3,-12.948146,-74.020842,1,0,1,1,1,0,0,1,0,2,3,22,159,0,0,5,2,1,4
"36",18904,198410300006,1984,10,30,0,145,2,14.233737,-83.538859,2,1,1,1,1,0,0,1,0,2,14,67,145,0,0,5,2,21,1
"37",71765,200811300006,2008,11,30,0,167,9,43.511111,44.6,1,0,1,1,1,0,0,1,0,2,14,69,167,0,0,5,5,1,2
"38",91241,201301280035,2013,1,28,0,19,6,23.791275,90.418205,1,0,1,1,1,0,1,1,0,3,8,49,19,0,0,6,17,0,7
"39",55311,199907040004,1999,7,4,1,93,5,-8.758333,125.2075,1,1,1,1,1,0,0,0,0,2,7,47,347,0,0,5,2,1,5
"40",140430,201706030042,2017,6,3,0,200,10,32.622334,36.103756,1,0,1,1,1,0,1,1,0,3,14,75,200,0,0,6,11,0,2
"41",43947,199401200007,1994,1,20,0,209,10,39.930771,32.76754,1,0,1,1,1,0,0,1,0,3,2,15,209,0,0,6,16,0,3
"42",41774,199207200009,1992,7,20,0,159,3,-11.967368,-76.978462,1,0,1,1,1,0,1,1,0,3,1,3,159,0,0,6,16,0,1
"43",128453,201603290018,2016,3,29,0,95,10,33.592064,42.618965,1,0,1,1,1,0,0,1,0,3,17,94,95,0,0,6,17,1,1
"44",133640,201609160019,2016,9,16,0,200,10,36.201721,37.14352,1,0,1,1,1,0,0,1,0,3,15,86,200,0,0,6,11,3,1
"45",41412,199206070010,1992,6,7,0,183,11,-26.252697,27.870275,1,0,1,1,1,-9,0,1,0,2,3,23,183,0,0,5,3,2,3
"46",65486,200611170003,2006,11,17,0,205,5,6.491822,101.3885,3,0,1,1,1,1,0,1,0,2,14,69,205,0,0,5,5,1,3
"47",31209,198907260007,1989,7,26,0,4,6,34.516895,69.147011,1,0,1,1,1,0,0,0,0,3,14,74,4,0,0,6,16,0,2
"48",80165,201102070003,2011,2,7,0,95,10,33.74324,44.623825,1,0,1,1,1,0,0,1,0,3,2,15,95,0,0,6,17,0,3
"49",106178,201405310021,2014,5,31,0,153,6,30.183279,71.405854,1,0,1,1,1,0,0,1,0,2,10,53,153,0,0,5,2,0,3
