"","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","nwound","property","Cluster"
"1",2014,10,1,0,214,9,47.981647,37.762325,1,0,1,1,1,0,0,1,0,3,19,99,214,0,0,6,11,6,1,1,5
"2",1978,1,2,0,45,3,4.667128,-74.106056,1,0,1,1,1,0,0,1,0,3,1,3,45,0,0,6,16,0,0,1,7
"3",2013,12,16,0,603,8,54.607712,-5.95621,1,1,1,1,1,0,0,0,0,3,14,76,233,0,0,6,31,0,0,0,5
"4",1987,1,28,0,153,6,24.891115,67.143311,1,0,1,1,1,-9,1,1,0,6,2,17,153,0,0,5,2,0,0,0,3
"5",1982,5,16,0,159,3,-12.948146,-74.020842,1,0,1,1,1,0,0,1,0,7,1,7,159,0,0,5,2,0,6,1,7
"6",2014,12,30,0,95,10,33.303566,44.371773,1,0,1,1,1,0,0,0,0,3,20,107,95,0,0,6,16,0,0,0,5
"7",2010,3,25,1,153,6,32.974638,70.14558,3,0,1,1,1,0,0,1,0,6,2,20,153,0,0,5,5,2,0,-9,2
"8",2014,11,30,0,153,6,26.102882,62.368946,1,0,1,1,0,1,0,1,0,3,4,39,153,0,0,6,11,2,2,1,6
"9",2014,6,24,0,153,6,34.166925,71.596302,1,0,1,1,1,0,0,1,0,3,21,106,153,0,0,6,16,0,0,1,5
"10",2002,8,6,0,45,3,5.28223,-73.16934,3,0,1,1,1,0,0,1,0,3,21,108,45,0,0,6,28,0,0,1,7
"11",1991,6,13,0,209,10,41.106178,28.689863,1,0,1,1,1,0,1,0,0,3,1,3,209,0,0,6,16,0,0,1,6
"12",2014,6,22,0,214,9,47.953388,39.741482,1,0,1,1,0,1,0,1,0,2,4,36,214,0,0,5,5,0,1,-9,2
"13",2014,3,13,0,153,6,34.217285,71.561043,1,0,1,1,1,0,0,1,0,2,1,6,153,0,0,5,5,2,0,-9,2
"14",2002,5,18,1,88,2,15.50167,-88.02774,3,1,1,1,1,0,0,1,0,6,2,18,88,0,0,5,5,0,0,0,7
"15",1984,10,21,0,69,8,48.856644,2.34233,1,0,1,1,1,-9,0,1,0,3,1,7,69,0,0,6,16,0,0,1,3
